group,variable,value
Data science,Ecommerce,2
Data science,Profiles,2
Data science,TIA Partnership,7
Design,Design,8
Design,Investments,6
Design,News,4
Design,Startups,2
Digital Marketing,Acquisitions,3
Digital Marketing,Analysis,3
Digital Marketing,Digital Marketing,12
Digital Marketing,News,2
Digital Marketing,Premium Content,2
Digital Marketing,Social Media,5
Digital Marketing,Startups,1
Digital Marketing,TIA Partnership,2
Ecommerce,Acquisitions,3
Ecommerce,Analysis,11
Ecommerce,Artificial Intelligence,10
Ecommerce,Asia,6
Ecommerce,Community,8
Ecommerce,Consumer Tech,2
Ecommerce,Data science,2
Ecommerce,Ecommerce,229
Ecommerce,Events,3
Ecommerce,Fintech,6
Ecommerce,Gaming,4
Ecommerce,Investments,67
Ecommerce,Landscape reports,2
Ecommerce,Management,6
Ecommerce,Mobile,3
Ecommerce,News,84
Ecommerce,Opinion,2
Ecommerce,Premium Content,25
Ecommerce,Profiles,7
Ecommerce,Startups,39
Ecommerce,TIA Partnership,10
Ecommerce,Trends,3
Ecommerce,Videos,2
Engineering,Engineering,6
Engineering,TIA Partnership,3
Events,Announcements,4
Events,Conference,8
Events,Ecommerce,3
Events,Events,37
Events,Gaming,2
Events,News,4
Events,Startups,5
Events,Studios,3
Events,TIA Partnership,5
Events,Tech in Asia Jobs,2
Events,Videos,7
Featured Stories,Featured Stories,4
Featured Stories,Investments,3
Featured Stories,Landscape reports,2
Featured Stories,Premium Content,1
Fintech,Acquisitions,15
Fintech,Analysis,16
Fintech,Artificial Intelligence,6
Fintech,Asia,9
Fintech,Blockchain,2
Fintech,Business-to-business,2
Fintech,Community,8
Fintech,Ecommerce,6
Fintech,Fintech,385
Fintech,Internet,4
Fintech,Investments,178
Fintech,Landscape reports,8
Fintech,Management,3
Fintech,Mobile,4
Fintech,News,165
Fintech,Opinion,4
Fintech,Premium Content,32
Fintech,Profiles,6
Fintech,Startups,75
Fintech,TIA Partnership,6
Fintech,Transportation,1
Fintech,Trends,5
Fintech,Videos,1
Fintech,Visual Stories,2
Gadgets,Gadgets,2
Gadgets,TIA Partnership,1
Gaming,Asia,3
Gaming,Ecommerce,4
Gaming,Events,2
Gaming,Gaming,38
Gaming,Investments,16
Gaming,Media,4
Gaming,News,12
Gaming,Premium Content,4
Gaming,Profiles,2
Gaming,Startups,6
Gaming,TIA Partnership,4
Gaming,Videos,1
GreenTech,Analysis,3
GreenTech,Artificial Intelligence,2
GreenTech,Asia,2
GreenTech,GreenTech,15
GreenTech,Investments,5
GreenTech,News,4
GreenTech,Premium Content,6
GreenTech,Profiles,2
GreenTech,Startups,2
GreenTech,TIA Partnership,1
GreenTech,Trends,1
Internet,Consumer Tech,3
Internet,Fintech,4
Internet,Internet,22
Internet,Investments,6
Internet,Mobile,2
Internet,News,6
Internet,Premium Content,5
Internet,Profiles,3
Internet,Startups,2
Internet,TIA Partnership,1
Internet,Trends,1
Investments,Analysis,12
Investments,Artificial Intelligence,51
Investments,Asia,26
Investments,Blockchain,12
Investments,Business-to-business,9
Investments,Community,2
Investments,Design,6
Investments,Ecommerce,67
Investments,Featured Stories,3
Investments,Fintech,178
Investments,Gaming,16
Investments,GreenTech,5
Investments,Internet,6
Investments,Investments,973
Investments,Landscape reports,60
Investments,Media,7
Investments,News,552
Investments,Opinion,1
Investments,Premium Content,66
Investments,Profiles,10
Investments,Robotics,2
Investments,Social Media,2
Investments,Startups,274
Investments,TIA Partnership,1
Investments,Transportation,13
Investments,Trends,5
Investments,Visual Stories,9
Landscape reports,Analysis,6
Landscape reports,Asia,10
Landscape reports,Ecommerce,2
Landscape reports,Featured Stories,2
Landscape reports,Fintech,8
Landscape reports,Investments,60
Landscape reports,Landscape reports,66
Landscape reports,News,2
Landscape reports,Premium Content,33
Landscape reports,Startups,11
Landscape reports,TIA Partnership,1
Landscape reports,Visual Stories,4
Management,Ecommerce,6
Management,Fintech,3
Management,Management,27
Management,News,16
Management,Premium Content,2
Management,Startups,8
Management,Transportation,1
Management,Trends,1
Media,Acquisitions,3
Media,Analysis,5
Media,Community,3
Media,Gaming,4
Media,Investments,7
Media,Media,34
Media,News,11
Media,Newsletters,3
Media,Opinion,4
Media,Premium Content,8
Media,Profiles,2
Media,Startups,6
Mobile,Acquisitions,2
Mobile,Analysis,8
Mobile,Asia,4
Mobile,Business-to-business,4
Mobile,Community,5
Mobile,Ecommerce,3
Mobile,Fintech,4
Mobile,Internet,2
Mobile,Mobile,31
Mobile,News,6
Mobile,Opinion,2
Mobile,Premium Content,8
Mobile,Profiles,1
Mobile,Social Media,1
Mobile,Startups,3
Mobile,TIA Partnership,2
Mobile,Visual Stories,1
News,Acquisitions,38
News,Analysis,21
News,Announcements,8
News,Artificial Intelligence,38
News,Asia,24
News,Blockchain,10
News,Business-to-business,6
News,Conference,4
News,Consumer Tech,1
News,Design,4
News,Digital Marketing,2
News,Ecommerce,84
News,Events,4
News,Fintech,165
News,Gaming,12
News,GreenTech,4
News,Internet,6
News,Investments,552
News,Landscape reports,2
News,Management,16
News,Media,11
News,Mobile,6
News,News,1078
News,Opinion,11
News,Premium Content,52
News,Profiles,8
News,Robotics,2
News,Social Media,3
News,Startups,451
News,TIA Partnership,1
News,Transportation,34
News,Trends,2
News,Visual Stories,1
News,Web Development,1
Newsletters,Announcements,10
Newsletters,Asia,3
Newsletters,Media,3
Newsletters,Newsletters,85
Newsletters,Opinion,19
Newsletters,Premium Content,6
Newsletters,Startups,2
Newsletters,Trends,1
Opinion,Analysis,9
Opinion,Asia,4
Opinion,Community,47
Opinion,Ecommerce,2
Opinion,Fintech,4
Opinion,Investments,1
Opinion,Media,4
Opinion,Mobile,2
Opinion,News,11
Opinion,Newsletters,19
Opinion,Opinion,78
Opinion,Premium Content,8
Opinion,Startups,20
Opinion,Tips,1
Opinion,Transportation,1
Premium Content,Acquisitions,2
Premium Content,Analysis,53
Premium Content,Asia,18
Premium Content,Consumer Tech,4
Premium Content,Digital Marketing,2
Premium Content,Ecommerce,25
Premium Content,Featured Stories,1
Premium Content,Fintech,32
Premium Content,Gaming,4
Premium Content,GreenTech,6
Premium Content,Internet,5
Premium Content,Investments,66
Premium Content,Landscape reports,33
Premium Content,Management,2
Premium Content,Media,8
Premium Content,Mobile,8
Premium Content,News,52
Premium Content,Newsletters,6
Premium Content,Opinion,8
Premium Content,Premium Content,237
Premium Content,Profiles,28
Premium Content,Social Media,2
Premium Content,Startups,53
Premium Content,Transportation,4
Premium Content,Trends,18
Profiles,Analysis,1
Profiles,Artificial Intelligence,2
Profiles,Asia,4
Profiles,Business-to-business,2
Profiles,Consumer Tech,1
Profiles,Data science,2
Profiles,Ecommerce,7
Profiles,Fintech,6
Profiles,Gaming,2
Profiles,GreenTech,2
Profiles,Internet,3
Profiles,Investments,10
Profiles,Media,2
Profiles,Mobile,1
Profiles,News,8
Profiles,Premium Content,28
Profiles,Profiles,58
Profiles,Robotics,5
Profiles,Startups,17
Profiles,TIA Partnership,4
Profiles,Transportation,1
Profiles,Trends,2
Profiles,Visual Stories,1
Q&A,Community,4
Q&A,Q&A,4
Q&A,Startups,2
Recruitment,Community,2
Recruitment,Recruitment,6
Recruitment,Startups,1
Recruitment,Tech in Asia Jobs,2
Robotics,Investments,2
Robotics,News,2
Robotics,Profiles,5
Robotics,Robotics,7
Robotics,Startups,3
Robotics,TIA Partnership,2
Social Media,Analysis,1
Social Media,Community,1
Social Media,Consumer Tech,1
Social Media,Digital Marketing,5
Social Media,Investments,2
Social Media,Mobile,1
Social Media,News,3
Social Media,Premium Content,2
Social Media,Social Media,12
Social Media,Startups,1
Social Media,TIA Partnership,2
Social Media,Visual Stories,1
Startups,Acquisitions,19
Startups,Analysis,6
Startups,Artificial Intelligence,22
Startups,Asia,14
Startups,Blockchain,5
Startups,Business-to-business,5
Startups,Community,35
Startups,Design,2
Startups,Digital Marketing,1
Startups,Ecommerce,39
Startups,Events,5
Startups,Fintech,75
Startups,Gaming,6
Startups,GreenTech,2
Startups,Internet,2
Startups,Investments,274
Startups,Landscape reports,11
Startups,Management,8
Startups,Media,6
Startups,Mobile,3
Startups,News,451
Startups,Newsletters,2
Startups,Opinion,20
Startups,Premium Content,53
Startups,Profiles,17
Startups,Q&A,2
Startups,Recruitment,1
Startups,Robotics,3
Startups,Social Media,1
Startups,Startups,573
Startups,TIA Partnership,11
Startups,Tips,8
Startups,Transportation,30
Startups,Trends,3
Startups,Videos,2
Startups,Visual Stories,4
Studios,Announcements,1
Studios,Events,3
Studios,Studios,3
Studios,Videos,1
TIA Originals,Asia,10
TIA Originals,TIA Originals,10
TIA Originals,Videos,5
TIA Partnership,Announcements,1
TIA Partnership,Artificial Intelligence,9
TIA Partnership,Asia,15
TIA Partnership,Blockchain,1
TIA Partnership,Business-to-business,8
TIA Partnership,Data science,7
TIA Partnership,Digital Marketing,2
TIA Partnership,Ecommerce,10
TIA Partnership,Engineering,3
TIA Partnership,Events,5
TIA Partnership,Fintech,6
TIA Partnership,Gadgets,1
TIA Partnership,Gaming,4
TIA Partnership,GreenTech,1
TIA Partnership,Internet,1
TIA Partnership,Investments,1
TIA Partnership,Landscape reports,1
TIA Partnership,Mobile,2
TIA Partnership,News,1
TIA Partnership,Profiles,4
TIA Partnership,Robotics,2
TIA Partnership,Social Media,2
TIA Partnership,Startups,11
TIA Partnership,TIA Partnership,62
TIA Partnership,Tips,3
TIA Partnership,Trends,1
TIA Partnership,Videos,6
Tech in Asia Jobs,Events,2
Tech in Asia Jobs,Recruitment,2
Tech in Asia Jobs,Tech in Asia Jobs,4
Tech in Asia Jobs,Videos,1
Tips,Community,7
Tips,Opinion,1
Tips,Startups,8
Tips,TIA Partnership,3
Tips,Tips,10
Transportation,Acquisitions,1
Transportation,Analysis,2
Transportation,Asia,1
Transportation,Blockchain,1
Transportation,Fintech,1
Transportation,Investments,13
Transportation,Management,1
Transportation,News,34
Transportation,Opinion,1
Transportation,Premium Content,4
Transportation,Profiles,1
Transportation,Startups,30
Transportation,Transportation,37
Trends,Analysis,5
Trends,Asia,4
Trends,Ecommerce,3
Trends,Fintech,5
Trends,GreenTech,1
Trends,Internet,1
Trends,Investments,5
Trends,Management,1
Trends,News,2
Trends,Newsletters,1
Trends,Premium Content,18
Trends,Profiles,2
Trends,Startups,3
Trends,TIA Partnership,1
Trends,Trends,23
Trends,Visual Stories,1
Videos,Asia,10
Videos,Ecommerce,2
Videos,Events,7
Videos,Fintech,1
Videos,Gaming,1
Videos,Startups,2
Videos,Studios,1
Videos,TIA Originals,5
Videos,TIA Partnership,6
Videos,Tech in Asia Jobs,1
Videos,Videos,17
Visual Stories,Analysis,6
Visual Stories,Asia,11
Visual Stories,Fintech,2
Visual Stories,Investments,9
Visual Stories,Landscape reports,4
Visual Stories,Mobile,1
Visual Stories,News,1
Visual Stories,Profiles,1
Visual Stories,Social Media,1
Visual Stories,Startups,4
Visual Stories,Trends,1
Visual Stories,Visual Stories,38
Web Development,News,1
Web Development,Web Development,1
